dpf_ko,dose_ko,x_fish_ko,x_dead_ko,percent_dead_ko,hatched_ko,percent_hatched_ko,abnormalities_ko,percent_abnormalities_ko,dpf_ab,dose_ab,x_fish_ab,x_dead_ab,percent_dead_ab,hatched_ab,percent_hatched_ab,abnormalities_ab,percent_abnormalities_ab
0,0,79,na,na,na,na,na,na,0,0,60,na,na,na,na,na,na
0,0.25,48,na,na,na,na,na,na,0,0.25,60,na,na,na,na,na,na
0,0.5,50,na,na,na,na,na,na,0,0.5,60,na,na,na,na,na,na
0,2,50,na,na,na,na,na,na,0,2,60,na,na,na,na,na,na
0,8,60,na,na,na,na,na,na,0,8,60,na,na,na,na,na,na
0,16,60,na,na,na,na,na,na,0,16,60,na,na,na,na,na,na
1,0,79,17,21.51898734,na,na,na,na,1,0,60,0,0,na,na,na,na
1,0.25,48,10,20.83333333,na,na,na,na,1,0.25,60,2,3.333333333,na,na,na,na
1,0.5,50,9,18,na,na,na,na,1,0.5,60,0,0,na,na,na,na
1,2,50,11,22,na,na,na,na,1,2,60,5,8.333333333,na,na,na,na
1,8,60,19,31.66666667,na,na,na,na,1,8,60,2,3.333333333,na,na,na,na
1,16,60,38,63.33333333,na,na,na,na,1,16,60,54,90,na,na,na,na
2,0,79,0,21.51898734,41,66.12903226,na,na,2,0,60,0,0,18,30,na,na
2,0.25,48,0,20.83333333,18,47.36842105,na,na,2,0.25,60,0,3.333333333,3,5.172413793,na,na
2,0.5,50,0,18,15,36.58536585,na,na,2,0.5,60,5,8.333333333,1,1.818181818,na,na
2,2,50,0,22,3,7.692307692,na,na,2,2,60,1,10,4,7.407407407,na,na
2,8,60,10,48.33333333,1,3.225806452,na,na,2,8,60,9,18.33333333,4,8.163265306,na,na
2,16,60,22,100,na,na,na,na,2,16,60,6,100,na,na,na,na
3,0,79,0,21.51898734,62,100,na,na,3,0,60,0,0,60,100,na,na
3,0.25,48,0,20.83333333,38,100,na,na,3,0.25,60,0,3.333333333,56,96.55172414,na,na
3,0.5,50,0,18,41,100,na,na,3,0.5,60,0,8.333333333,55,100,na,na
3,2,50,0,22,35,89.74358974,na,na,3,2,60,0,10,50,92.59259259,na,na
3,8,60,3,53.33333333,10,35.71428571,na,na,3,8,60,43,90,na,na,na,na
3,16,60,60,100,na,na,na,na,3,16,100,100,100,na,na,na,na
4,0,79,0,21.51898734,62,100,na,na,4,0,60,0,0,60,100,na,na
4,0.25,48,0,20.83333333,38,100,na,na,4,0.25,60,0,3.333333333,57,98.27586207,na,na
4,0.5,50,0,18,41,100,na,na,4,0.5,60,0,8.333333333,55,100,na,na
4,2,50,0,22,39,100,na,na,4,2,60,2,13.33333333,51,98.07692308,na,na
4,8,60,12,73.33333333,16,100,na,na,4,8,60,2,93.33333333,na,na,na,na
4,16,60,60,100,na,na,na,na,4,16,100,100,100,na,na,na,na
5,0,79,0,21.51898734,79,100,3,4.838709677,5,0,60,0,0,60,100,1,1.666666667
5,0.25,48,0,20.83333333,48,100,2,5.263157895,5,0.25,60,0,3.333333333,58,100,4,6.896551724
5,0.5,50,0,18,50,100,1,2.43902439,5,0.5,60,0,8.333333333,55,100,10,18.18181818
5,2,50,0,22,50,100,23,58.97435897,5,2,60,0,13.33333333,52,100,44,84.61538462
5,8,60,16,100,60,na,na,na,5,8,60,4,100,na,na,na,na
5,16,60,60,100,60,na,na,na,5,16,100,100,100,na,na,na,na
0,0,68,na,na,na,na,na,na,0,0,60,na,na,na,na,na,na
0,0.25,48,na,na,na,na,na,na,0,0.25,60,na,na,na,na,na,na
0,0.5,50,na,na,na,na,na,na,0,0.5,60,na,na,na,na,na,na
0,2,50,na,na,na,na,na,na,0,2,60,na,na,na,na,na,na
0,8,50,na,na,na,na,na,na,0,8,60,na,na,na,na,na,na
0,16,60,na,na,na,na,na,na,0,16,60,na,na,na,na,na,na
1,0,68,15,22.05882353,na,na,na,na,1,0,60,0,0,na,na,na,na
1,0.25,60,16,26.66666667,na,na,na,na,1,0.25,60,0,0,na,na,na,na
1,0.5,50,13,26,na,na,na,na,1,0.5,60,2,3.333333333,na,na,na,na
1,2,50,10,20,na,na,na,na,1,2,60,3,5,na,na,na,na
1,8,50,15,30,na,na,na,na,1,8,60,8,13.33333333,na,na,na,na
1,16,60,20,33.33333333,na,na,na,na,1,16,60,45,75,na,na,na,na
2,0,68,0,22.05882353,38,71.69811321,na,na,2,0,60,0,0,4,6.666666667,na,na
2,0.25,60,0,26.66666667,10,22.72727273,na,na,2,0.25,60,0,0,2,3.333333333,na,na
2,0.5,50,0,26,11,29.72972973,na,na,2,0.5,60,0,3.333333333,4,6.896551724,na,na
2,2,50,0,20,10,25,na,na,2,2,60,2,8.333333333,1,1.818181818,na,na
2,8,50,4,38,1,3.225806452,na,na,2,8,60,0,13.33333333,0,0,na,na
2,16,60,40,100,na,na,na,na,2,16,60,15,100,na,na,na,na
3,0,68,0,22.05882353,53,100,na,na,3,0,60,0,0,59,98.33333333,na,na
