dpf,dose,x_fish,x_dead,percent_dead,hatched,percent_hatched,unhatched,abnormalities,percent_abnormalities
0,0,60,na,na,na,na,na,na,na
0,0.25,60,na,na,na,na,na,na,na
0,0.5,60,na,na,na,na,na,na,na
0,2,60,na,na,na,na,na,na,na
0,8,60,na,na,na,na,na,na,na
0,16,60,na,na,na,na,na,na,na
1,0,60,0,0,na,na,na,na,na
1,0.25,60,2,3.333333333,na,na,na,na,na
1,0.5,60,0,0,na,na,na,na,na
1,2,60,5,8.333333333,na,na,na,na,na
1,8,60,2,3.333333333,na,na,na,na,na
1,16,60,54,90,na,na,na,na,na
2,0,60,0,0,18,30,na,na,na
2,0.25,60,0,3.333333333,3,5.172413793,na,na,na
2,0.5,60,5,8.333333333,1,1.818181818,na,na,na
2,2,60,1,10,4,7.407407407,na,na,na
2,8,60,9,18.33333333,4,8.163265306,na,na,na
2,16,60,6,100,na,na,na,na,na
3,0,60,0,0,60,100,0,na,na
3,0.25,60,0,3.333333333,56,96.55172414,2,na,na
3,0.5,60,0,8.333333333,55,100,0,na,na
3,2,60,0,10,50,92.59259259,4,na,na
3,8,60,43,90,na,na,na,na,na
3,16,100,100,100,na,na,na,na,na
4,0,60,0,0,60,100,0,na,na
4,0.25,60,0,3.333333333,57,98.27586207,1,na,na
4,0.5,60,0,8.333333333,55,100,0,na,na
4,2,60,2,13.33333333,51,98.07692308,1,na,na
4,8,60,2,93.33333333,na,na,na,na,na
4,16,100,100,100,na,na,na,na,na
5,0,60,0,0,60,100,na,1,1.666666667
5,0.25,60,0,3.333333333,58,100,na,4,6.896551724
5,0.5,60,0,8.333333333,55,100,na,10,18.18181818
5,2,60,0,13.33333333,52,100,na,44,84.61538462
5,8,60,4,100,na,na,na,na,na
5,16,100,100,100,na,na,na,na,na
0,0,60,na,na,na,na,na,na,na
0,0.25,60,na,na,na,na,na,na,na
0,0.5,60,na,na,na,na,na,na,na
0,2,60,na,na,na,na,na,na,na
0,8,60,na,na,na,na,na,na,na
0,16,60,na,na,na,na,na,na,na
1,0,60,0,0,na,na,na,na,na
1,0.25,60,0,0,na,na,na,na,na
1,0.5,60,2,3.333333333,na,na,na,na,na
1,2,60,3,5,na,na,na,na,na
1,8,60,8,13.33333333,na,na,na,na,na
1,16,60,45,75,na,na,na,na,na
2,0,60,0,0,4,6.666666667,na,na,na
2,0.25,60,0,0,2,3.333333333,na,na,na
2,0.5,60,0,3.333333333,4,6.896551724,na,na,na
2,2,60,2,8.333333333,1,1.818181818,na,na,na
2,8,60,0,13.33333333,0,0,na,na,na
2,16,60,15,100,na,na,na,na,na
3,0,60,0,0,59,98.33333333,1,na,na
3,0.25,60,0,0,59,98.33333333,1,na,na
3,0.5,60,0,3.333333333,56,96.55172414,2,na,na
3,2,60,0,8.333333333,45,81.81818182,10,na,na
3,8,60,47,91.66666667,na,na,na,na,na
3,16,60,60,100,na,na,na,na,na
4,0,60,0,0,60,100,na,na ,na 
4,0.25,60,0,0,60,100,na,na ,na 
4,0.5,60,0,3.333333333,58,100,na,na ,na 
4,2,60,1,10,54,100,na,na ,na 
4,8,60,4,98.33333333,na,na,na,na ,na 
4,16,60,60,100,na,na,na,na,na
5,0,60,0,0,60,100,na,2,3.333333333
5,0.25,60,0,0,60,100,na,4,6.666666667
5,0.5,60,0,3.333333333,58,100,na,9,15.51724138
5,2,60,0,10,54,100,na,50,92.59259259
5,8,60,2,100,na,na,na,na,na
5,16,60,60,100,na,na,na,na,na
0,0,60,na,na,na,na,na,na,na
0,0.25,60,na,na,na,na,na,na,na
0,0.5,60,na,na,na,na,na,na,na
0,2,60,na,na,na,na,na,na,na
0,8,60,na,na,na,na,na,na,na
0,16,60,na,na,na,na,na,na,na
1,0,60,3,5,na,na,na,na,na
1,0.25,60,1,1.666666667,na,na,na,na,na
1,0.5,60,1,1.666666667,na,na,na,na,na
1,2,60,3,5,na,na,na,na,na
1,8,60,3,5,na,na,na,na,na
1,16,60,52,86.66666667,na,na,na,na,na
2,0,60,0,5,17,29.8245614,na,na,na
2,0.25,60,0,1.666666667,3,5.084745763,na,na,na
2,0.5,60,0,1.666666667,3,5.084745763,na,na,na
2,2,60,7,16.66666667,4,8,na,na,na
2,8,60,10,21.66666667,0,0,na,na,na
2,16,60,8,100,na,na,na,na,na
3,0,60,0,5,51,89.47368421,6,na,na
3,0.25,60,0,1.666666667,53,89.83050847,6,na,na
3,0.5,60,0,1.666666667,54,91.52542373,5,na,na
3,2,60,1,18.33333333,42,85.71428571,7,na,na
3,8,60,47,100,na,na,na,na,na
3,16,60,60,100,na,na,na,na,na
4,0,60,0,5,57,100,0,na,na
4,0.25,60,0,1.666666667,59,100,0,na,na
4,0.5,60,0,1.666666667,59,100,0,na,na
4,2,60,0,18.33333333,49,100,0,na,na
4,8,60,60,100,na,na,na,na,na
4,16,60,60,100,na,na,na,na,na
5,0,60,0,5,na,100,na,2,3.50877193
5,0.25,60,0,1.666666667,na,100,na,4,6.779661017
5,0.5,60,0,1.666666667,na,100,na,7,11.86440678
5,2,60,0,18.33333333,na,100,na,43,87.75510204
5,8,60,60,100,na,na,na,na,na
5,16,60,60,100,na,na,na,na,na
0,0,60,na,na,na,na,na,na,na
0,0.25,60,na,na,na,na,na,na,na
0,0.5,60,na,na,na,na,na,na,na
0,2,60,na,na,na,na,na,na,na
0,8,60,na,na,na,na,na,na,na
0,16,60,na,na,na,na,na,na,na
1,0,60,2,3.333333333,na,na,na,na,na
1,0.25,60,1,1.666666667,na,na,na,na,na
1,0.5,60,3,5,na,na,na,na,na
1,2,60,4,6.666666667,na,na,na,na,na
1,8,60,2,3.333333333,na,na,na,na,na
1,16,60,43,71.66666667,na,na,na,na,na
2,0,60,0,3.333333333,8,13.79310345,na,na,na
2,0.25,60,0,1.666666667,2,3.389830508,na,na,na
2,0.5,60,0,5,12,21.05263158,na,na,na
2,2,60,1,8.333333333,1,1.818181818,na,na,na
2,8,60,0,3.333333333,0,0,na,na,na
2,16,60,17,100,na,na,na,na,na
3,0,60,0,3.333333333,49,84.48275862,9,na,na
3,0.25,60,0,1.666666667,55,93.22033898,4,na,na
3,0.5,60,0,5,53,92.98245614,4,na,na
3,2,60,0,8.333333333,42,76.36363636,13,na,na
3,8,60,50,86.66666667,na,na,na,na,na
3,16,60,60,100,na,na,na,na,na
4,0,60,0,3.333333333,58,100,na,na,na
4,0.25,60,0,1.666666667,59,100,na,na,na
4,0.5,60,0,5,57,100,na,na,na
4,2,60,0,8.333333333,55,100,na,na,na
4,8,60,3,91.66666667,na,na,na,na,na
4,16,60,60,100,na,na,na,na,na
5,0,60,0,3.333333333,na,100,na,0,0
5,0.25,60,0,1.666666667,na,100,na,4,6.779661017
5,0.5,60,0,5,na,100,na,4,7.01754386
5,2,60,0,8.333333333,na,100,na,46,83.63636364
5,8,60,60,100,na,na,na,na,na
5,16,60,60,100,na,na,na,na,na
0,0,60,na,na,na,na,na,na,na
0,0.25,60,na,na,na,na,na,na,na
0,0.5,60,na,na,na,na,na,na,na
0,2,60,na,na,na,na,na,na,na
0,8,60,na,na,na,na,na,na,na
0,16,60,na,na,na,na,na,na,na
1,0,60,2,3.333333333,na,na,na,na,na
1,0.25,60,7,11.66666667,na,na,na,na,na
1,0.5,60,3,5,na,na,na,na,na
1,2,60,2,3.333333333,na,na,na,na,na
1,8,60,4,6.666666667,na,na,na,na,na
1,16,60,55,91.66666667,na,na,na,na,na
2,0,60,0,3.333333333,18,31.03448276,na,na,na
2,0.25,60,0,11.66666667,1,1.886792453,na,na,na
2,0.5,60,1,6.666666667,0,0,na,na,na
2,2,60,0,3.333333333,0,0,na,na,na
2,8,60,3,11.66666667,5,9.433962264,na,na,na
2,16,60,5,100,na,na,na,na,na
3,0,60,0,3.333333333,50,86.20689655,8,na,na
3,0.25,60,0,11.66666667,40,75.47169811,13,na,na
3,0.5,60,0,6.666666667,51,91.07142857,5,na,na
3,2,60,0,3.333333333,54,93.10344828,4,na,na
3,8,60,43,83.33333333,na,na,0,na,na
3,16,60,60,100,na,na,na,na,na
4,0,60,0,3.333333333,58,100,0,na,na
4,0.25,60,0,11.66666667,53,100,0,na,na
4,0.5,60,0,6.666666667,56,100,0,na,na
4,2,60,0,3.333333333,58,100,0,na,na
4,8,60,60,100,na,na,na,na,na
4,16,60,60,100,na,na,na,na,na
5,0,60,0,3.333333333,na,100,na,1,1.724137931
5,0.25,60,0,11.66666667,na,100,na,3,5.660377358
5,0.5,60,0,6.666666667,na,100,na,5,8.928571429
5,2,60,0,3.333333333,na,100,na,52,89.65517241
5,8,60,60,100,na,na,na,na,na
5,16,60,60,100,na,na,na,na,na
